Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:49:08 PM
Exported by: paberbuj

Start: (-29.79, -28.61, 0.00)
End:   (30.24, -28.61, -0.23)

	40x40	20x20	10x10	Total
-22.527998	11.544234	1.039919	0.000000	12.584153
-22.502992	11.590666	1.044400	0.000000	12.635066
-22.477987	11.637099	1.048881	0.000000	12.685980
-22.452981	11.683532	1.053362	0.000000	12.736893
-22.427976	11.729965	1.057843	0.000000	12.787807
-22.402971	11.776397	1.062323	0.000000	12.838721
-22.377965	11.822830	1.066804	0.000000	12.889634
-22.352960	11.872368	1.071841	0.000000	12.944209
-22.327954	11.927926	1.077953	0.000000	13.005879
-22.302949	11.983485	1.084066	0.000000	13.067550
-22.277943	12.039044	1.090178	0.000000	13.129222
-22.252938	12.094604	1.096290	0.000000	13.190895
-22.227933	12.150165	1.102403	0.000000	13.252568
-22.202927	12.205727	1.108515	0.000000	13.314242
-22.177922	12.261289	1.114628	0.000000	13.375917
-22.152916	12.316852	1.120740	0.000000	13.437592
-22.127911	12.372415	1.126853	0.000000	13.499268
-22.102905	12.432490	1.132790	0.000000	13.565280
-22.077900	12.501227	1.138391	0.000000	13.639618
-22.052895	12.569963	1.143992	0.000000	13.713955
-22.027889	12.638698	1.149594	0.000000	13.788292
-22.002884	12.707433	1.155195	0.000000	13.862627
-21.977878	12.776166	1.160796	0.000000	13.936962
-21.952873	12.844900	1.166397	0.000000	14.011297
-21.927867	12.913632	1.171998	0.000000	14.085630
-21.902862	12.982363	1.177599	0.000000	14.159963
-21.877857	13.051094	1.183201	0.000000	14.234295
-21.852851	13.125822	1.189160	0.000000	14.314983
-21.827846	13.211961	1.195802	0.000000	14.407763
-21.802840	13.298100	1.202444	0.000000	14.500544
-21.777835	13.384239	1.209085	0.000000	14.593325
-21.752829	13.470378	1.215727	0.000000	14.686105
-21.727824	13.556517	1.222368	0.000000	14.778886
-21.702818	13.642656	1.229010	0.000000	14.871667
-21.677813	13.728795	1.235652	0.000000	14.964447
-21.652808	13.814934	1.242293	0.000000	15.057228
-21.627802	13.901074	1.248935	0.000000	15.150008
-21.602797	14.000793	1.255202	0.000000	15.255995
-21.577791	14.126112	1.260764	0.000000	15.386876
-21.552786	14.251431	1.266325	0.000000	15.517756
-21.527780	14.376749	1.271887	0.000000	15.648636
-21.502775	14.502068	1.277449	0.000000	15.779517
-21.477770	14.627387	1.283010	0.000000	15.910397
-21.452764	14.752706	1.288572	0.000000	16.041278
-21.427759	14.878024	1.294134	0.000000	16.172158
-21.402753	15.003343	1.299695	0.000000	16.303038
-21.377748	15.128662	1.305257	0.000000	16.433919
