Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:43:28 PM
Exported by: paberbuj

Start: (-29.79, -25.09, -29.57)
End:   (30.02, -25.09, 29.79)

	Campo 1
-28.144989	21.321543
-28.119983	21.501531
-28.094978	21.681414
-28.069973	21.861191
-28.044967	22.040862
-28.019962	22.220428
-27.994956	22.399887
-27.969951	22.579241
-27.944945	22.758489
-27.919940	22.937631
-27.894935	23.116667
-27.869929	23.295597
-27.844924	23.473327
-27.819918	23.649715
-27.794913	23.824613
-27.769908	24.000234
-27.744902	24.176578
-27.719897	24.353647
-27.694891	24.531439
-27.669886	24.709955
-27.644881	24.889194
-27.619875	25.069157
-27.594870	25.249843
-27.569864	25.431254
-27.544859	25.613388
-27.519854	25.796245
-27.494848	25.980802
-27.469843	26.169142
-27.444837	26.365072
-27.419832	26.563814
-27.394826	26.765368
-27.369821	26.969733
-27.344816	27.176911
-27.319810	27.386900
-27.294805	27.599702
-27.269799	27.815315
-27.244794	28.033740
-27.219789	28.254978
-27.194783	28.479027
-27.169778	28.705888
-27.144772	28.937905
-27.119767	29.205270
-27.094762	29.516547
-27.069756	29.841935
-27.044751	30.178495
-27.019745	30.526227
-26.994740	30.885131
-26.969735	31.255205
-26.944729	31.636452
-26.919724	32.028870
-26.894718	32.432459
-26.869713	32.847221
-26.844708	33.273153
-26.819702	33.710257
-26.794697	34.158533
-26.769691	34.725271
-26.744686	35.433519
-26.719680	36.188763
-26.694675	36.970694
-26.669670	37.779312
-26.644664	38.614616
-26.619659	39.476608
-26.594653	40.365287
-26.569648	41.280653
-26.544643	42.222705
-26.519637	43.191445
-26.494632	44.186872
-26.469626	45.208985
-26.444621	46.257786
-26.419616	47.480440
-26.394610	48.963592
-26.369605	50.529362
-26.344599	52.124269
-26.319594	53.748311
-26.294589	55.401490
-26.269583	57.083805
-26.244578	58.795256
-26.219572	60.535843
-26.194567	62.305566
-26.169561	64.104426
-26.144556	65.932421
-26.119551	67.789553
-26.094545	69.675821
-26.069540	71.633516
-26.044534	73.707017
-26.019529	75.806389
-25.994524	77.901727
-25.969518	79.993032
-25.944513	82.080303
-25.919507	84.163540
-25.894502	86.242743
-25.869497	88.317913
-25.844491	90.389049
-25.819486	92.456151
-25.794480	94.519219
-25.769475	96.578253
-25.744470	98.633254
-25.719464	100.632214
-25.694459	102.387447
-25.669453	104.034975
-25.644448	105.648407
-25.619442	107.227743
-25.594437	108.772983
-25.569432	110.284128
-25.544426	111.761176
-25.519421	113.204129
-25.494415	114.612985
-25.469410	115.987746
-25.444405	117.328411
-25.419399	118.634981
-25.394394	119.907454
-25.369388	121.120129
-25.344383	121.958843
-25.319378	122.646539
-25.294372	123.310483
