Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 3:13:31 PM
Exported by: paberbuj

Start: (0.28, -20.02, 29.81)
End:   (-0.28, -20.02, -29.81)

	40x40	20x20	10x10	Total
-24.039469	13.373859	1.221403	0.000000	14.595263
-24.014458	13.432594	1.303729	0.000000	14.736324
-23.989448	13.491328	1.386056	0.000000	14.877384
-23.964438	13.553144	1.420459	0.000000	14.973603
-23.939428	13.616611	1.429173	0.000000	15.045784
-23.914418	13.680079	1.437886	0.000000	15.117966
-23.889408	13.743548	1.446600	0.000000	15.190148
-23.864398	13.807018	1.455313	0.000000	15.262331
-23.839388	13.870487	1.464027	0.000000	15.334514
-23.814377	13.933958	1.472740	0.000000	15.406698
-23.789367	13.997429	1.481454	0.000000	15.478882
-23.764357	14.060900	1.490167	0.000000	15.551067
-23.739347	14.124372	1.498881	0.000000	15.623253
-23.714337	14.191783	1.506814	0.000000	15.698598
-23.689327	14.261273	1.514337	0.000000	15.775610
-23.664317	14.330762	1.521859	0.000000	15.852622
-23.639306	14.400252	1.529382	0.000000	15.929633
-23.614296	14.469741	1.536904	0.000000	16.006645
-23.589286	14.539231	1.544426	0.000000	16.083657
-23.564276	14.608720	1.551949	0.000000	16.160669
-23.539266	14.678210	1.559471	0.000000	16.237681
-23.514256	14.747699	1.566993	0.000000	16.314692
-23.489246	14.817188	1.574516	0.000000	16.391704
-23.464236	14.892177	1.582249	0.000000	16.474427
-23.439225	14.970021	1.590092	0.000000	16.560113
-23.414215	15.047862	1.597935	0.000000	16.645797
-23.389205	15.125702	1.605778	0.000000	16.731480
-23.364195	15.203540	1.613620	0.000000	16.817160
-23.339185	15.281376	1.621463	0.000000	16.902839
-23.314175	15.359210	1.629306	0.000000	16.988516
-23.289165	15.437042	1.637149	0.000000	17.074191
-23.264155	15.514872	1.644992	0.000000	17.159864
-23.239144	15.592701	1.652834	0.000000	17.245535
-23.214134	15.678876	1.661416	0.000000	17.340292
-23.189124	15.769318	1.670375	0.000000	17.439693
-23.164114	15.859761	1.679334	0.000000	17.539094
-23.139104	15.950203	1.688293	0.000000	17.638495
-23.114094	16.040645	1.697252	0.000000	17.737896
-23.089084	16.131087	1.706211	0.000000	17.837297
-23.064073	16.221529	1.715170	0.000000	17.936698
-23.039063	16.311971	1.724129	0.000000	18.036099
-23.014053	16.402413	1.733088	0.000000	18.135500
-22.989043	16.492855	1.742046	0.000000	18.234901
-22.964033	16.597267	1.750763	0.000000	18.348030
-22.939023	16.708703	1.759358	0.000000	18.468060
-22.914013	16.820136	1.767953	0.000000	18.588089
-22.889003	16.931567	1.776549	0.000000	18.708116
-22.863992	17.042995	1.785146	0.000000	18.828141
-22.838982	17.154422	1.793743	0.000000	18.948165
-22.813972	17.265846	1.802341	0.000000	19.068187
-22.788962	17.377267	1.810940	0.000000	19.188207
-22.763952	17.488687	1.819539	0.000000	19.308226
-22.738942	17.600104	1.828138	0.000000	19.428242
-22.713932	17.739826	1.837224	0.000000	19.577050
-22.688921	17.893553	1.846550	0.000000	19.740104
-22.663911	18.047281	1.855876	0.000000	19.903157
-22.638901	18.201010	1.865200	0.000000	20.066210
-22.613891	18.354739	1.874524	0.000000	20.229263
-22.588881	18.508468	1.883848	0.000000	20.392316
-22.563871	18.662198	1.893171	0.000000	20.555368
-22.538861	18.815928	1.902493	0.000000	20.718421
-22.513851	18.969658	1.911814	0.000000	20.881473
-22.488840	19.123389	1.921135	0.000000	21.044525
