Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 3:12:02 PM
Exported by: paberbuj

Start: (-29.81, -28.46, -30.09)
End:   (29.53, -28.46, 29.53)

	Campo 1
-29.822018	8.260510
-29.797013	8.287905
-29.772008	8.315367
-29.747003	8.342897
-29.721997	8.370494
-29.696992	8.398164
-29.671987	8.425871
-29.646982	8.453611
-29.621977	8.481383
-29.596972	8.509190
-29.571967	8.537029
-29.546962	8.564902
-29.521957	8.592900
-29.496952	8.621384
-29.471947	8.650150
-29.446942	8.679199
-29.421937	8.708531
-29.396932	8.738145
-29.371927	8.768042
-29.346922	8.800215
-29.321917	8.833491
-29.296912	8.867230
-29.271907	8.901434
-29.246902	8.936101
-29.221897	8.971233
-29.196892	9.006828
-29.171887	9.042976
-29.146882	9.080923
-29.121877	9.119419
-29.096872	9.158464
-29.071866	9.198057
-29.046861	9.238198
-29.021856	9.278889
-28.996851	9.330850
-28.971846	9.391502
-28.946841	9.455430
-28.921836	9.522636
-28.896831	9.593118
-28.871826	9.666878
-28.846821	9.743914
-28.821816	9.824228
-28.796811	9.917452
-28.771806	10.016755
-28.746801	10.121050
-28.721796	10.230338
-28.696791	10.344619
-28.671786	10.463891
-28.646781	10.601090
-28.621776	10.755082
-28.596771	10.915057
-28.571766	11.081014
-28.546761	11.252954
-28.521756	11.430877
-28.496751	11.614782
-28.471746	11.804671
-28.446741	12.014923
-28.421735	12.236271
-28.396730	12.462971
-28.371725	12.695023
-28.346720	12.932427
-28.321715	13.175184
-28.296710	13.423199
-28.271705	13.673479
-28.246700	13.924973
-28.221695	14.177683
-28.196690	14.431607
-28.171685	14.686746
-28.146680	14.943100
-28.121675	15.200669
-28.096670	15.457228
-28.071665	15.712084
-28.046660	15.966786
-28.021655	16.221334
-27.996650	16.475728
-27.971645	16.729968
-27.946640	16.979902
-27.921635	17.220672
-27.896630	17.460515
-27.871625	17.699430
-27.846620	17.937418
-27.821615	18.174479
-27.796610	18.410613
-27.771604	18.645819
-27.746599	18.876656
-27.721594	19.101002
-27.696589	19.324805
-27.671584	19.548063
-27.646579	19.770777
-27.621574	19.992947
-27.596569	20.213133
-27.571564	20.428097
-27.546559	20.643096
-27.521554	20.858130
-27.496549	21.073198
-27.471544	21.288301
-27.446539	21.503439
-27.421534	21.718611
-27.396529	21.933117
-27.371524	22.144632
-27.346519	22.355861
-27.321514	22.566804
-27.296509	22.777460
-27.271504	22.987830
-27.246499	23.197215
-27.221494	23.400775
-27.196489	23.603573
-27.171484	23.805609
-27.146479	24.006883
-27.121473	24.207396
-27.096468	24.407147
-27.071463	24.606136
-27.046458	24.804276
-27.021453	24.998512
-26.996448	25.192455
-26.971443	25.386104
-26.946438	25.579461
-26.921433	25.772524
-26.896428	25.965283
-26.871423	26.157011
-26.846418	26.349123
-26.821413	26.541619
-26.796408	26.734501
-26.771403	26.927766
-26.746398	27.121416
-26.721393	27.315450
-26.696388	27.509869
-26.671383	27.709321
-26.646378	27.910843
-26.621373	28.113697
-26.596368	28.317883
-26.571363	28.523401
-26.546358	28.730251
-26.521353	28.953470
-26.496348	29.181777
-26.471343	29.413712
-26.446337	29.649275
-26.421332	29.888467
-26.396327	30.131286
-26.371322	30.377734
-26.346317	30.627810
-26.321312	30.909665
-26.296307	31.212077
-26.271302	31.522419
-26.246297	31.840693
-26.221292	32.166896
-26.196287	32.501031
-26.171282	32.908855
-26.146277	33.348223
-26.121272	33.803481
-26.096267	34.274629
-26.071262	34.761668
-26.046257	35.264598
-26.021252	35.783417
-25.996247	36.318127
-25.971242	36.946135
-25.946237	37.673530
-25.921232	38.427228
-25.896227	39.207229
-25.871222	40.013532
-25.846217	40.846137
-25.821212	41.859130
-25.796206	42.976372
-25.771201	44.131818
-25.746196	45.325467
-25.721191	46.557320
-25.696186	47.827376
-25.671181	49.135635
-25.646176	50.482099
-25.621171	51.959736
-25.596166	53.666099
-25.571161	55.416573
-25.546156	57.211155
-25.521151	59.049847
-25.496146	60.932649
-25.471141	63.021611
-25.446136	65.261155
-25.421131	67.536239
-25.396126	69.846863
-25.371121	72.193027
-25.346116	74.574732
-25.321111	76.991977
-25.296106	79.444763
-25.271101	81.955101
-25.246096	84.604179
-25.221091	87.266578
-25.196086	89.942301
-25.171081	92.631345
-25.146075	95.333712
-25.121070	98.041425
-25.096065	100.732344
-25.071060	103.407490
-25.046055	106.066863
-25.021050	108.710463
-24.996045	111.338290
-24.971040	113.950344
-24.946035	116.546624
-24.921030	119.127131
-24.896025	121.458285
-24.871020	123.746943
-24.846015	125.996196
-24.821010	128.206045
-24.796005	130.376491
-24.771000	132.384349
-24.745995	134.142606
-24.720990	135.851510
-24.695985	137.511062
-24.670980	139.121262
-24.645975	140.682110
-24.620970	142.193605
-24.595965	143.655748
-24.570960	145.068538
-24.545955	146.170306
-24.520950	147.169394
-24.495944	148.126652
-24.470939	149.042079
-24.445934	149.915675
-24.420929	150.679822
-24.395924	151.232824
-24.370919	151.762943
-24.345914	152.270179
-24.320909	152.754532
-24.295904	153.216001
-24.270899	153.654587
-24.245894	154.070290
-24.220889	154.463110
-24.195884	154.770675
-24.170879	155.031510
-24.145874	155.283176
-24.120869	155.525673
-24.095864	155.759001
-24.070859	155.974167
-24.045854	156.137965
-24.020849	156.297745
-23.995844	156.453507
-23.970839	156.605251
-23.945834	156.752977
-23.920829	156.896685
-23.895824	157.036374
-23.870819	157.172046
-23.845813	157.291607
-23.820808	157.394271
-23.795803	157.494190
-23.770798	157.591364
-23.745793	157.685793
-23.720788	157.776375
-23.695783	157.847816
-23.670778	157.917974
-23.645773	157.986847
-23.620768	158.054436
-23.595763	158.120741
-23.570758	158.185763
-23.545753	158.249500
-23.520748	158.311953
-23.495743	158.369996
-23.470738	158.419759
-23.445733	158.469047
-23.420728	158.517860
-23.395723	158.566198
-23.370718	158.614062
-23.345713	158.659584
-23.320708	158.706003
-23.295703	158.753441
-23.270698	158.801899
-23.245693	158.851375
-23.220688	158.901871
-23.195682	158.953386
-23.170677	159.005920
-23.145672	159.060038
-23.120667	159.118824
-23.095662	159.177782
-23.070657	159.236913
-23.045652	159.296216
-23.020647	159.355691
-22.995642	159.413030
-22.970637	159.469433
-22.945632	159.525255
-22.920627	159.580497
-22.895622	159.635156
-22.870617	159.689235
-22.845612	159.742733
-22.820607	159.795649
-22.795602	159.847985
-22.770597	159.891372
-22.745592	159.933540
-22.720587	159.974949
-22.695582	160.015600
-22.670577	160.055492
-22.645572	160.089698
-22.620567	160.121489
-22.595562	160.152572
-22.570557	160.182949
-22.545552	160.212619
-22.520546	160.241582
-22.495541	160.269838
-22.470536	160.297387
-22.445531	160.324229
-22.420526	160.348963
-22.395521	160.373010
-22.370516	160.396832
-22.345511	160.420429
-22.320506	160.443801
-22.295501	160.466551
-22.270496	160.489590
-22.245491	160.513307
-22.220486	160.537703
-22.195481	160.562779
-22.170476	160.588533
