Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: PDD_Eq4
Course: C1
Date: Thursday, July 21, 2016 5:41:05 PM
Exported by: laldrovandi

Start: (0.01, 0.03, 0.00)
End:   (0.00, 33.86, 0.00)

	4x4	10x10	20x20	40x40	4x4w15	10x10w15	40x30w15	4x4w30	10x10w30	40x30w30	4x4w45	10x10w45	40x20w45	4x4w60	10x10w60	40x15w60	Total
1.350333	99.877765	99.943979	100.015830	100.018976	99.538822	99.603444	99.999470	99.339610	99.490288	99.978538	99.751566	99.753438	99.951634	99.660738	99.816863	99.929287	1596.670249
1.375339	99.893187	99.951881	99.998892	99.976586	99.588307	99.646178	99.979988	99.406338	99.542270	99.963246	99.775116	99.776788	99.945845	99.688735	99.827513	99.902144	1596.863015
1.400345	99.906321	99.957773	99.980323	99.932955	99.635150	99.686455	99.958647	99.470225	99.591645	99.945995	99.796059	99.797660	99.937922	99.714167	99.835881	99.873145	1597.020322
1.425351	99.919454	99.963664	99.961754	99.889324	99.681993	99.726733	99.937306	99.534112	99.641020	99.928743	99.817003	99.818532	99.929999	99.739598	99.844249	99.844145	1597.177628
1.450357	99.932587	99.969556	99.943185	99.845693	99.728836	99.767010	99.915964	99.597999	99.690395	99.911491	99.837946	99.839403	99.922076	99.765030	99.852617	99.815145	1597.334934
1.475364	99.945720	99.975447	99.924616	99.802063	99.775679	99.807288	99.894623	99.661886	99.739770	99.894239	99.858889	99.860275	99.914153	99.790461	99.860985	99.786146	1597.492240
1.500370	99.958854	99.981338	99.906046	99.758432	99.822522	99.847565	99.873282	99.725774	99.789145	99.876987	99.879832	99.881147	99.906230	99.815893	99.869353	99.757146	1597.649545
1.525376	99.971987	99.987230	99.887477	99.714801	99.869364	99.887842	99.851940	99.789661	99.838520	99.859735	99.900775	99.902019	99.898307	99.841324	99.877720	99.728146	1597.806849
1.550382	99.985120	99.993121	99.868908	99.671170	99.916207	99.928120	99.830599	99.853548	99.887895	99.842483	99.921718	99.922891	99.890384	99.866755	99.886088	99.699146	1597.964153
1.575388	99.998253	99.999013	99.850339	99.627540	99.963050	99.968397	99.809258	99.917435	99.937270	99.825230	99.942660	99.943762	99.882462	99.892186	99.894456	99.670146	1598.121457
1.600394	100.011387	100.004904	99.831770	99.583909	100.009893	100.008674	99.787916	99.981322	99.986644	99.807978	99.963603	99.964634	99.874539	99.917617	99.902823	99.641146	1598.278760
1.625400	99.960826	99.957473	99.775744	99.518965	99.979258	99.980027	99.726296	99.960203	99.961135	99.744423	99.912382	99.919227	99.815766	99.870670	99.850039	99.569947	1597.502381
1.650407	99.909213	99.909161	99.719100	99.453669	99.947344	99.950241	99.664010	99.937680	99.934389	99.680103	99.859969	99.872726	99.756154	99.822527	99.796245	99.498050	1596.710579
1.675413	99.857600	99.860849	99.662456	99.388373	99.915430	99.920456	99.601724	99.915157	99.907643	99.615783	99.807555	99.826224	99.696542	99.774383	99.742450	99.426153	1595.918777
1.700419	99.805988	99.812537	99.605812	99.323077	99.883516	99.890670	99.539437	99.892634	99.880896	99.551463	99.755142	99.779722	99.636929	99.726240	99.688656	99.354256	1595.126974
1.725425	99.754375	99.764225	99.549168	99.257781	99.851601	99.860884	99.477151	99.870110	99.854150	99.487143	99.702728	99.733220	99.577317	99.678097	99.634861	99.282358	1594.335169
1.750431	99.702762	99.715914	99.492524	99.192484	99.819687	99.831099	99.414865	99.847587	99.827404	99.422823	99.650315	99.686718	99.517704	99.629953	99.581066	99.210461	1593.543363
1.775437	99.651150	99.667602	99.435880	99.127188	99.787772	99.801313	99.352579	99.825064	99.800657	99.358503	99.597901	99.640216	99.458091	99.581809	99.527271	99.138563	1592.751557
1.800444	99.599537	99.619290	99.379236	99.061892	99.755857	99.771527	99.290293	99.802540	99.773911	99.294183	99.545487	99.593713	99.398478	99.533665	99.473475	99.066665	1591.959749
1.825450	99.547924	99.570978	99.322592	98.996596	99.723943	99.741742	99.228007	99.780017	99.747164	99.229862	99.493073	99.547211	99.338865	99.485520	99.419680	98.994767	1591.167940
1.850456	99.496311	99.522666	99.265948	98.931300	99.692028	99.711956	99.165720	99.757493	99.720417	99.165542	99.440659	99.500709	99.279252	99.437376	99.365884	98.922869	1590.376130
1.875462	99.403904	99.441061	99.186649	98.853713	99.611617	99.640715	99.085446	99.683328	99.649935	99.080601	99.347929	99.418427	99.196749	99.348018	99.280258	98.832310	1589.060660
1.900468	99.310927	99.358991	99.107034	98.775954	99.530529	99.568894	99.004919	99.608440	99.578842	98.995371	99.254636	99.335645	99.113926	99.258083	99.194187	98.741490	1587.737868
1.925474	99.217950	99.276921	99.027418	98.698194	99.449441	99.497073	98.924393	99.533552	99.507749	98.910141	99.161343	99.252863	99.031103	99.168149	99.108115	98.650671	1586.415076
1.950481	99.124972	99.194850	98.947803	98.620435	99.368353	99.425252	98.843866	99.458664	99.436656	98.824911	99.068049	99.170081	98.948279	99.078214	99.022044	98.559851	1585.092282
1.975487	99.031995	99.112780	98.868188	98.542676	99.287264	99.353432	98.763340	99.383776	99.365562	98.739681	98.974755	99.087299	98.865456	98.988279	98.935972	98.469030	1583.769487
2.000493	98.939018	99.030710	98.788573	98.464917	99.206176	99.281611	98.682813	99.308888	99.294469	98.654451	98.881462	99.004517	98.782633	98.898344	98.849900	98.378210	1582.446690
2.025499	98.846040	98.948640	98.708957	98.387158	99.125088	99.209790	98.602287	99.234000	99.223375	98.569221	98.788168	98.921734	98.699809	98.808408	98.763828	98.287389	1581.123892
2.050505	98.753063	98.866570	98.629342	98.309399	99.043999	99.137969	98.521760	99.159112	99.152282	98.483991	98.694874	98.838952	98.616986	98.718472	98.677755	98.196568	1579.801093
2.075511	98.660085	98.784499	98.549727	98.231640	98.962911	99.066148	98.441234	99.084223	99.081188	98.398760	98.601580	98.756169	98.534162	98.628536	98.591683	98.105747	1578.478292
2.100518	98.567108	98.702429	98.470112	98.153880	98.881822	98.994327	98.360707	99.009335	99.010094	98.313530	98.508285	98.673387	98.451339	98.538600	98.505610	98.014925	1577.155490
2.125524	98.449501	98.599552	98.375248	98.067033	98.772189	98.897246	98.268275	98.904046	98.913512	98.215987	98.392187	98.570217	98.356009	98.425361	98.401523	97.914305	1575.522190
2.150530	98.331611	98.496437	98.280210	97.980082	98.662229	98.799875	98.175707	98.798408	98.816637	98.118303	98.275828	98.466813	98.260537	98.311855	98.297230	97.813571	1573.885333
2.175536	98.213722	98.393321	98.185172	97.893130	98.552269	98.702504	98.083138	98.692771	98.719763	98.020619	98.159469	98.363409	98.165065	98.198349	98.192936	97.712838	1572.248475
2.200542	98.095833	98.290206	98.090134	97.806179	98.442308	98.605134	97.990569	98.587133	98.622888	97.922935	98.043109	98.260005	98.069592	98.084842	98.088643	97.612105	1570.611615
2.225548	97.977944	98.187090	97.995096	97.719227	98.332348	98.507763	97.898001	98.481496	98.526013	97.825251	97.926749	98.156601	97.974119	97.971335	97.984349	97.511371	1568.974754
2.250555	97.860055	98.083975	97.900058	97.632276	98.222388	98.410392	97.805432	98.375858	98.429138	97.727567	97.810390	98.053197	97.878647	97.857828	97.880055	97.410637	1567.337891
2.275561	97.742166	97.980860	97.805020	97.545325	98.112427	98.313021	97.712863	98.270220	98.332263	97.629883	97.694030	97.949793	97.783174	97.744320	97.775760	97.309903	1565.701027
2.300567	97.624277	97.877744	97.709982	97.458373	98.002467	98.215650	97.620294	98.164582	98.235388	97.532199	97.577669	97.846389	97.687701	97.630813	97.671466	97.209169	1564.064162
2.325573	97.506387	97.774629	97.614944	97.371422	97.892506	98.118278	97.527726	98.058944	98.138513	97.434515	97.461309	97.742984	97.592228	97.517305	97.567171	97.108435	1562.427295
2.350579	97.388498	97.671513	97.519906	97.284470	97.782546	98.020907	97.435157	97.953306	98.041638	97.336830	97.344949	97.639580	97.496755	97.403796	97.462876	97.007700	1560.790428
2.375585	97.262138	97.561637	97.421750	97.197519	97.662340	97.915779	97.344897	97.836475	97.936961	97.242046	97.223225	97.533241	97.403398	97.284325	97.357101	96.910964	1559.093795
2.400591	97.135702	97.451700	97.323565	97.110567	97.542042	97.810581	97.254657	97.719544	97.832215	97.147288	97.101454	97.426875	97.310060	97.164800	97.251312	96.814263	1557.396626
2.425598	97.009267	97.341763	97.225381	97.023616	97.421744	97.705384	97.164418	97.602612	97.727468	97.052530	96.979683	97.320509	97.216721	97.045275	97.145523	96.717562	1555.699456
2.450604	96.882831	97.231826	97.127197	96.936665	97.301446	97.600186	97.074179	97.485681	97.622721	96.957772	96.857912	97.214144	97.123383	96.925750	97.039733	96.620861	1554.002284
