Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: Perf Fot Eq4
Course: C1
Date: Thursday, July 21, 2016 6:33:23 PM
Exported by: laldrovandi

Start: (-25.01, 10.00, 0.00)
End:   (25.00, 10.00, 0.00)

	10x10	40x40	10x10w15	30x30w15	10x10w30	30x30w30	10x10w45	20x20w45	10x10w60	15x15w60	Total
2.575497	0.000000	15.194272	0.000000	6.041253	0.000000	7.700576	0.000000	2.666579	0.000000	0.000000	31.602679
2.600501	0.000000	15.434782	0.000000	6.061421	0.000000	7.724442	0.000000	2.673685	0.000000	0.000000	31.894330
2.625506	0.000000	15.675292	0.000000	6.081588	0.000000	7.748308	0.000000	2.680792	0.000000	0.000000	32.185980
2.650511	0.000000	16.323861	0.000000	6.102070	0.000000	7.772367	0.000000	2.687696	0.000000	0.000000	32.885994
2.675516	0.000000	17.065285	0.000000	6.122622	0.000000	7.796470	0.000000	2.694554	0.000000	0.000000	33.678932
2.700521	0.000000	17.806709	0.000000	6.143175	0.000000	7.820573	0.000000	2.701413	0.000000	0.000000	34.471869
2.725526	0.000000	18.548133	0.000000	6.163728	0.000000	7.844675	0.000000	2.708271	0.000000	0.000000	35.264807
2.750530	0.000000	19.289557	0.000000	6.184280	0.000000	7.868778	0.000000	2.715129	0.000000	0.000000	36.057744
2.775535	0.000000	20.030981	0.000000	6.204833	0.000000	7.892880	0.000000	2.721987	0.000000	0.000000	36.850682
2.800540	0.000000	20.772405	0.000000	6.225386	0.000000	7.916983	0.000000	2.728846	0.000000	0.000000	37.643620
2.825545	0.000000	21.513830	0.000000	6.245939	0.000000	7.941086	0.000000	2.735704	0.000000	0.000000	38.436557
2.850550	0.000000	22.255254	0.000000	6.266491	0.000000	7.965188	0.000000	2.742562	0.000000	0.000000	39.229495
2.875555	0.000000	22.996678	0.000000	6.287044	0.000000	7.989291	0.000000	2.749420	0.000000	0.000000	40.022433
2.900559	0.000000	25.629007	0.000000	6.308699	0.000000	8.014783	0.000000	2.756485	0.000000	0.000000	42.708974
2.925564	0.000000	28.686135	0.000000	6.330601	0.000000	8.040588	0.000000	2.763596	0.000000	0.000000	45.820921
2.950569	0.000000	31.743263	0.000000	6.352504	0.000000	8.066392	0.000000	2.770708	0.000000	0.000000	48.932867
2.975574	0.000000	34.800391	0.000000	6.374407	0.000000	8.092197	0.000000	2.777819	0.000000	0.000000	52.044814
3.000579	0.000000	37.857519	0.000000	6.396309	0.000000	8.118002	0.000000	2.784931	0.000000	0.000000	55.156760
3.025583	0.000000	40.914647	0.000000	6.418212	0.000000	8.143806	0.000000	2.792042	0.000000	0.000000	58.268707
3.050588	0.000000	43.971775	0.000000	6.440114	0.000000	8.169611	0.000000	2.799153	0.000000	0.000000	61.380654
3.075593	0.000000	47.028903	0.000000	6.462017	0.000000	8.195415	0.000000	2.806265	0.000000	0.000000	64.492600
3.100598	0.000000	50.086031	0.000000	6.483919	0.000000	8.221220	0.000000	2.813376	0.000000	0.000000	67.604547
3.125603	0.000000	53.143159	0.000000	6.505822	0.000000	8.247025	0.000000	2.820487	0.000000	0.000000	70.716493
3.150608	0.000000	54.326961	0.000000	6.528709	0.000000	8.274085	0.000000	2.828373	0.000000	0.159103	72.117230
3.175612	0.000000	55.095318	0.000000	6.551813	0.000000	8.301424	0.000000	2.836429	0.000000	0.353490	73.138475
3.200617	0.000000	55.863676	0.000000	6.574918	0.000000	8.328763	0.000000	2.844486	0.000000	0.547877	74.159720
3.225622	0.000000	56.632033	0.000000	6.598023	0.000000	8.356102	0.000000	2.852543	0.000000	0.742264	75.180964
3.250627	0.000000	57.400390	0.000000	6.621128	0.000000	8.383441	0.000000	2.860600	0.000000	0.936651	76.202209
3.275632	0.000000	58.168747	0.000000	6.644233	0.000000	8.410780	0.000000	2.868657	0.000000	1.131038	77.223454
3.300636	0.000000	58.937104	0.000000	6.667337	0.000000	8.438118	0.000000	2.876714	0.000000	1.325425	78.244698
3.325641	0.000000	59.705461	0.000000	6.690442	0.000000	8.465457	0.000000	2.884770	0.000000	1.519812	79.265943
3.350646	0.000000	60.473818	0.000000	6.713547	0.000000	8.492796	0.000000	2.892827	0.000000	1.714199	80.287188
3.375651	0.000000	61.242175	0.000000	6.736652	0.000000	8.520135	0.000000	2.900884	0.000000	1.908586	81.308432
3.400656	0.000000	61.585104	0.000000	6.761050	0.000000	8.548706	0.000000	2.908754	0.000000	1.946379	81.749994
3.425661	0.000000	61.834907	0.000000	6.785732	0.000000	8.577547	0.000000	2.916584	0.000000	1.949895	82.064665
3.450665	0.000000	62.084710	0.000000	6.810414	0.000000	8.606388	0.000000	2.924413	0.000000	1.953411	82.379335
3.475670	0.000000	62.334513	0.000000	6.835096	0.000000	8.635228	0.000000	2.932242	0.000000	1.956927	82.694006
3.500675	0.000000	62.584316	0.000000	6.859777	0.000000	8.664069	0.000000	2.940072	0.000000	1.960443	83.008677
3.525680	0.000000	62.834119	0.000000	6.884459	0.000000	8.692910	0.000000	2.947901	0.000000	1.963959	83.323347
3.550685	0.000000	63.083922	0.000000	6.909141	0.000000	8.721750	0.000000	2.955730	0.000000	1.967475	83.638018
3.575690	0.000000	63.333725	0.000000	6.933822	0.000000	8.750591	0.000000	2.963560	0.000000	1.970991	83.952689
3.600694	0.000000	63.583528	0.000000	6.958504	0.000000	8.779432	0.000000	2.971389	0.000000	1.974507	84.267359
3.625699	0.000000	63.833331	0.000000	6.983186	0.000000	8.808272	0.000000	2.979218	0.000000	1.978023	84.582030
3.650704	0.000000	63.986043	0.000000	7.008795	0.000000	8.838286	0.000000	2.987625	0.000000	1.982670	84.803418
3.675709	0.000000	64.117779	0.000000	7.034604	0.000000	8.868554	0.000000	2.996157	0.000000	1.987560	85.004654
3.700714	0.000000	64.249516	0.000000	7.060413	0.000000	8.898821	0.000000	3.004688	0.000000	1.992451	85.205890
3.725718	0.000000	64.381252	0.000000	7.086223	0.000000	8.929089	0.000000	3.013220	0.000000	1.997342	85.407126
3.750723	0.000000	64.512989	0.000000	7.112032	0.000000	8.959356	0.000000	3.021752	0.000000	2.002233	85.608362
3.775728	0.000000	64.644725	0.000000	7.137841	0.000000	8.989624	0.000000	3.030283	0.000000	2.007124	85.809598
3.800733	0.000000	64.776462	0.000000	7.163651	0.000000	9.019891	0.000000	3.038815	0.000000	2.012015	86.010834
3.825738	0.000000	64.908198	0.000000	7.189460	0.000000	9.050159	0.000000	3.047347	0.000000	2.016906	86.212069
3.850743	0.000000	65.039935	0.000000	7.215269	0.000000	9.080426	0.000000	3.055878	0.000000	2.021797	86.413305
3.875747	0.000000	65.171671	0.000000	7.241079	0.000000	9.110693	0.000000	3.064410	0.000000	2.026688	86.614541
3.900752	0.000000	65.268940	0.000000	7.267353	0.000000	9.141556	0.000000	3.073129	0.000000	2.031134	86.782111
3.925757	0.000000	65.358860	0.000000	7.293727	0.000000	9.172545	0.000000	3.081887	0.000000	2.035485	86.942504
3.950762	0.000000	65.448780	0.000000	7.320101	0.000000	9.203534	0.000000	3.090646	0.000000	2.039835	87.102897
3.975767	0.000000	65.538701	0.000000	7.346475	0.000000	9.234524	0.000000	3.099404	0.000000	2.044186	87.263290
4.000771	0.000000	65.628621	0.000000	7.372848	0.000000	9.265513	0.000000	3.108163	0.000000	2.048537	87.423683
4.025776	0.000000	65.718542	0.000000	7.399222	0.000000	9.296502	0.000000	3.116922	0.000000	2.052888	87.584075
4.050781	0.000000	65.808462	0.000000	7.425596	0.000000	9.327491	0.000000	3.125680	0.000000	2.057239	87.744468
4.075786	0.000000	65.898382	0.000000	7.451970	0.000000	9.358480	0.000000	3.134439	0.000000	2.061590	87.904861
4.100791	0.000000	65.988303	0.000000	7.478344	0.000000	9.389470	0.000000	3.143197	0.000000	2.065940	88.065254
