Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:42:33 PM
Exported by: paberbuj

Start: (-29.79, -27.56, -29.57)
End:   (30.02, -27.56, 29.79)

	Campo 1
-26.769691	28.047504
-26.744686	28.269766
-26.719680	28.498707
-26.694675	28.732434
-26.669670	28.970947
-26.644664	29.214246
-26.619659	29.462332
-26.594653	29.715204
-26.569648	29.972861
-26.544643	30.235305
-26.519637	30.502536
-26.494632	30.774552
-26.469626	31.051355
-26.444621	31.332943
-26.419616	31.661218
-26.394610	32.070094
-26.369605	32.513205
-26.344599	32.974319
-26.319594	33.453437
-26.294589	33.950559
-26.269583	34.465683
-26.244578	34.998811
-26.219572	35.549942
-26.194567	36.119077
-26.169561	36.706215
-26.144556	37.311356
-26.119551	37.934501
-26.094545	38.575649
-26.069540	39.324810
-26.044534	40.325095
-26.019529	41.428041
-25.994524	42.568960
-25.969518	43.747853
-25.944513	44.964719
-25.919507	46.219558
-25.894502	47.512371
-25.869497	48.843156
-25.844491	50.211915
-25.819486	51.618648
-25.794480	53.063353
-25.769475	54.546032
-25.744470	56.066684
-25.719464	57.704969
-25.694459	59.722384
-25.669453	61.880768
-25.644448	64.067625
-25.619442	66.282955
-25.594437	68.526759
-25.569432	70.799036
-25.544426	73.099786
-25.519421	75.429010
-25.494415	77.786706
-25.469410	80.172876
-25.444405	82.587519
-25.419399	85.030636
-25.394394	87.502225
-25.369388	90.005011
-25.344383	92.550261
-25.319378	95.085218
-25.294372	97.599774
-25.269367	100.093928
-25.244361	102.567681
-25.219356	105.021032
-25.194351	107.453982
-25.169345	109.866531
-25.144340	112.258678
-25.119334	114.630424
-25.094329	116.981768
-25.069324	119.312711
-25.044318	121.623252
-25.019313	123.913392
-24.994307	125.793557
-24.969302	127.428488
-24.944296	129.018099
-24.919291	130.562392
-24.894286	132.061365
-24.869280	133.515020
-24.844275	134.923355
-24.819269	136.286372
-24.794264	137.604070
-24.769259	138.876449
-24.744253	140.103509
-24.719248	141.285250
-24.694242	142.421672
-24.669237	143.512775
-24.644232	144.294326
-24.619226	144.807199
-24.594221	145.301430
-24.569215	145.777020
-24.544210	146.233969
-24.519205	146.672276
-24.494199	147.091942
-24.469194	147.492966
-24.444188	147.875349
-24.419183	148.239091
-24.394177	148.584191
-24.369172	148.910649
-24.344167	149.218467
-24.319161	149.507642
-24.294156	149.739958
-24.269150	149.902575
-24.244145	150.061839
-24.219140	150.217750
-24.194134	150.370309
-24.169129	150.519515
-24.144123	150.665368
-24.119118	150.807868
-24.094113	150.947016
-24.069107	151.082811
-24.044102	151.215253
-24.019096	151.344343
-23.994091	151.470080
-23.969086	151.592464
-23.944080	151.703733
-23.919075	151.788907
-23.894069	151.872774
-23.869064	151.955334
-23.844058	152.036587
-23.819053	152.116534
-23.794048	152.195173
-23.769042	152.272505
-23.744037	152.348530
-23.719031	152.423248
-23.694026	152.496659
-23.669021	152.568763
-23.644015	152.639560
-23.619010	152.709051
-23.594004	152.776061
-23.568999	152.832023
-23.543994	152.887792
-23.518988	152.943368
-23.493983	152.998751
-23.468977	153.053940
-23.443972	153.108936
-23.418967	153.163740
-23.393961	153.218349
-23.368956	153.272766
-23.343950	153.326990
-23.318945	153.381020
-23.293940	153.434857
-23.268934	153.488501
-23.243929	153.541952
-23.218923	153.590708
-23.193918	153.639021
-23.168912	153.687050
-23.143907	153.734794
-23.118902	153.782253
-23.093896	153.829428
-23.068891	153.876318
-23.043885	153.922923
-23.018880	153.969244
-22.993875	154.015280
-22.968869	154.061031
-22.943864	154.106498
-22.918858	154.151680
-22.893853	154.196577
-22.868848	154.237251
-22.843842	154.276735
-22.818837	154.315913
-22.793831	154.354786
-22.768826	154.393354
-22.743821	154.431618
-22.718815	154.469576
-22.693810	154.507229
-22.668804	154.544577
-22.643799	154.581621
-22.618793	154.618359
-22.593788	154.654792
-22.568783	154.690920
-22.543777	154.726743
-22.518772	154.760573
-22.493766	154.793551
-22.468761	154.826414
-22.443756	154.859165
-22.418750	154.891802
-22.393745	154.924325
-22.368739	154.956735
-22.343734	154.989032
-22.318729	155.021215
-22.293723	155.053284
-22.268718	155.085240
-22.243712	155.117082
-22.218707	155.148811
-22.193702	155.180426
-22.168696	155.209701
-22.143691	155.236712
-22.118685	155.263474
-22.093680	155.289988
-22.068674	155.316255
-22.043669	155.342273
-22.018664	155.368043
-21.993658	155.393565
-21.968653	155.418839
-21.943647	155.443864
-21.918642	155.468642
-21.893637	155.493171
-21.868631	155.517453
-21.843626	155.541486
-21.818620	155.562921
-21.793615	155.580937
-21.768610	155.598769
-21.743604	155.616417
-21.718599	155.633881
-21.693593	155.651161
-21.668588	155.668258
-21.643583	155.685170
-21.618577	155.701899
-21.593572	155.718443
-21.568566	155.734804
-21.543561	155.750981
-21.518556	155.766974
-21.493550	155.782783
-21.468545	155.797660
-21.443539	155.811109
-21.418534	155.824495
-21.393528	155.837831
-21.368523	155.851116
-21.343518	155.864352
-21.318512	155.877538
-21.293507	155.890674
-21.268501	155.903760
-21.243496	155.916796
-21.218491	155.929781
-21.193485	155.942717
-21.168480	155.955603
-21.143474	155.968439
-21.118469	155.981334
-21.093464	155.994333
-21.068458	156.007401
-21.043453	156.020561
-21.018447	156.033812
-20.993442	156.047155
-20.968437	156.060589
-20.943431	156.074114
-20.918426	156.087731
-20.893420	156.101440
-20.868415	156.115240
-20.843409	156.129131
-20.818404	156.143114
-20.793399	156.157188
-20.768393	156.170968
-20.743388	156.183765
-20.718382	156.196174
-20.693377	156.208385
-20.668372	156.220398
-20.643366	156.232211
-20.618361	156.243825
-20.593355	156.255241
-20.568350	156.266458
-20.543345	156.277476
-20.518339	156.288296
-20.493334	156.298916
-20.468328	156.309338
-20.443323	156.319561
-20.418318	156.329344
-20.393312	156.337679
-20.368307	156.344749
-20.343301	156.351549
-20.318296	156.358080
-20.293290	156.364342
-20.268285	156.370335
-20.243280	156.376059
-20.218274	156.381514
-20.193269	156.386699
-20.168263	156.391615
-20.143258	156.396262
-20.118253	156.400640
-20.093247	156.404749
-20.068242	156.408127
-20.043236	156.409164
-20.018231	156.408672
-19.993226	156.408146
-19.968220	156.407586
-19.943215	156.406991
-19.918209	156.406361
-19.893204	156.405697
-19.868199	156.404998
-19.843193	156.404265
-19.818188	156.403497
-19.793182	156.402694
-19.768177	156.401857
