Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: Perf Fot Eq4
Course: C1
Date: Thursday, July 21, 2016 6:35:36 PM
Exported by: laldrovandi

Start: (-25.00, 20.00, -0.75)
End:   (25.00, 20.00, -0.75)

	10x10	40x40	10x10w15	30x30w15	10x10w30	30x30w30	10x10w45	20x20w45	10x10w60	15x15w60	Total
2.200009	0.000000	37.190763	0.000000	5.869073	0.000000	7.248778	0.000000	2.258461	0.000000	1.392728	53.959803
2.225010	0.000000	37.238682	0.000000	5.889456	0.000000	7.272899	0.000000	2.264616	0.000000	1.395721	54.061374
2.250010	0.000000	37.286602	0.000000	5.909839	0.000000	7.297019	0.000000	2.270771	0.000000	1.398715	54.162946
2.275010	0.000000	37.334522	0.000000	5.930221	0.000000	7.321140	0.000000	2.276927	0.000000	1.401708	54.264518
2.300010	0.000000	37.382442	0.000000	5.950604	0.000000	7.345260	0.000000	2.283082	0.000000	1.404702	54.366090
2.325010	0.000000	37.430362	0.000000	5.970987	0.000000	7.369381	0.000000	2.289237	0.000000	1.407695	54.467662
2.350010	0.000000	37.478282	0.000000	5.991370	0.000000	7.393501	0.000000	2.295392	0.000000	1.410689	54.569234
2.375010	0.000000	37.525155	0.000000	6.012151	0.000000	7.418129	0.000000	2.301631	0.000000	1.413915	54.670981
2.400010	0.000000	37.566986	0.000000	6.034849	0.000000	7.445199	0.000000	2.308271	0.000000	1.418260	54.773565
2.425010	0.000000	37.608817	0.000000	6.057546	0.000000	7.472270	0.000000	2.314912	0.000000	1.422606	54.876150
2.450010	0.000000	37.650648	0.000000	6.080244	0.000000	7.499340	0.000000	2.321552	0.000000	1.426951	54.978735
2.475011	0.000000	37.692479	0.000000	6.102942	0.000000	7.526411	0.000000	2.328192	0.000000	1.431296	55.081320
2.500011	0.000000	37.734309	0.000000	6.125640	0.000000	7.553481	0.000000	2.334832	0.000000	1.435641	55.183905
2.525011	0.000000	37.776140	0.000000	6.148338	0.000000	7.580552	0.000000	2.341473	0.000000	1.439987	55.286490
2.550011	0.000000	37.817971	0.000000	6.171036	0.000000	7.607622	0.000000	2.348113	0.000000	1.444332	55.389075
2.575011	0.000000	37.859802	0.000000	6.193734	0.000000	7.634693	0.000000	2.354753	0.000000	1.448677	55.491659
2.600011	0.000000	37.901633	0.000000	6.216432	0.000000	7.661763	0.000000	2.361394	0.000000	1.453023	55.594244
2.625011	0.000000	37.942958	0.000000	6.239132	0.000000	7.688835	0.000000	2.368155	0.000000	1.457182	55.696263
2.650011	0.000000	37.981848	0.000000	6.261845	0.000000	7.715916	0.000000	2.375497	0.000000	1.460447	55.795553
2.675011	0.000000	38.020739	0.000000	6.284558	0.000000	7.742996	0.000000	2.382839	0.000000	1.463712	55.894844
2.700012	0.000000	38.059629	0.000000	6.307271	0.000000	7.770077	0.000000	2.390181	0.000000	1.466978	55.994135
2.725012	0.000000	38.098519	0.000000	6.329984	0.000000	7.797157	0.000000	2.397524	0.000000	1.470243	56.093426
2.750012	0.000000	38.137410	0.000000	6.352696	0.000000	7.824238	0.000000	2.404866	0.000000	1.473508	56.192718
2.775012	0.000000	38.176300	0.000000	6.375409	0.000000	7.851318	0.000000	2.412208	0.000000	1.476773	56.292009
2.800012	0.000000	38.215191	0.000000	6.398122	0.000000	7.878399	0.000000	2.419550	0.000000	1.480038	56.391300
2.825012	0.000000	38.254081	0.000000	6.420835	0.000000	7.905479	0.000000	2.426892	0.000000	1.483303	56.490591
